"id","Edad","GENERO","NUMERO_HIJOS","PROFESION","SERVICIO","TIEMPO_PROPIETARIO","KILOMETRAJE_INSTALACION","Edad Licencia","RELACION_ASEGURADO","CILINDRAJE","CIUDAD","Min(Recorrido (Km))","Min(Frenadas (Uni))","Min(Arrancadas (Uni))","Min(Aceleraciones (Uni))","Min(Exceso Velocidad (Min))","Min(Maxima Velocidad (Km/h))","Min(Tiempo Uso (Min))","Min(Uso Zona (Min))","Min(Fuera Zona (Min))","Min(Colision)","Max(Recorrido (Km))","Max(Frenadas (Uni))","Max(Arrancadas (Uni))","Max(Aceleraciones (Uni))","Max(Exceso Velocidad (Min))","Max(Maxima Velocidad (Km/h))","Max(Tiempo Uso (Min))","Max(Uso Zona (Min))","Max(Fuera Zona (Min))","Max(Colision)","Mean(Recorrido (Km))","Mean(Frenadas (Uni))","Mean(Arrancadas (Uni))","Mean(Aceleraciones (Uni))","Mean(Exceso Velocidad (Min))","Mean(Maxima Velocidad (Km/h))","Mean(Tiempo Uso (Min))","Mean(Uso Zona (Min))","Mean(Fuera Zona (Min))","Mean(Colision)","CLASE","MODELO","SINIESTROS_2016","SINIESTROS_2017","SINIESTROS_2018"
"43665400",72.38,1,4,12,0,5,"0",55.18,1,2300,1,1,0,0,0,0,0,15,15,0,0,5,1,3,0,0,0,28,28,0,0,3,0.2,0.6,0,0,0,21.2,21.2,0,0,0,1987,0,0,0
"60342217",35.93,1,0,21,0,7,"0",9.15,1,1300,1,1,0,0,0,0,0,4,0,4,0,59,2,0,10,1,99.9,60,0,60,0,9.36,0.08,0,1.08,0.02,1.94,28.09,0,28.09,0,0,1992,0,0,0
"16205257",81.04,0,3,15,0,10,"0",61.55,1,1800,1,1,0,0,0,0,0,3,0,0,0,31,8,3,12,0,0,58,40,58,0,4.8,0.4,0.02,0.59,0,0,21.01,7.66,13.36,0,0,1998,0,0,0
"42188664",38.46,0,0,13,1,5,"0",11.1,2,2500,1,0,0,0,0,0,0,0,0,0,0,57,6,1,0,15,129.5,59,59,57,1,7.53,0.17,0.01,0,0.2,9.17,22.65,21.31,1.34,0.01,0,2003,0,0,0
"93966068",70.3,1,0,4,0,6,"0",37.19,1,2000,1,1,0,0,0,0,0,4,0,0,0,74,29,1,13,28,114.7,60,59,60,0,5.96,2.71,0,1.03,0.13,1.75,22.62,7.47,15.15,0,0,2003,0,0,0
"45047436",40.54,1,1,10,0,4,"0",10.17,1,1800,1,1,0,0,0,0,0,4,0,0,0,67,7,2,0,5,129.5,57,57,56,0,9.62,0.12,0.03,0,0.09,7.76,26.65,22.89,3.77,0,0,2005,0,0,2
"67982293",45.75,1,3,10,0,2,"0",24.4,1,1600,1,1,0,0,0,0,0,5,0,0,0,55,2,0,15,11,125.8,60,45,60,0,13.15,0.15,0,2.22,0.98,19.97,27.24,15.39,11.85,0,2,2004,0,0,0
"1435441",54.08,0,2,15,0,3,"0",33.24,1,1300,1,1,0,0,0,0,0,5,0,0,0,68,11,1,31,25,123.95,60,55,60,0,7.09,0.35,0.02,1.49,0.28,3.84,23.51,2.04,21.48,0,0,2005,0,0,0
"60464010",57.96,1,2,0,0,1,"0",14,1,1300,1,1,0,0,0,0,0,4,0,4,0,17,0,1,6,0,0,60,0,60,0,6.18,0,0.09,1.55,0,0,26.45,0,26.45,0,0,2005,1,0,0
"64243092",53.11,0,2,3,0,3,"0",13.66,1,1600,1,1,0,0,0,0,0,4,0,0,0,73,6,4,8,28,118.4,60,41,60,0,13.13,0.09,0.03,1.25,0.87,8.68,29.93,1.96,27.97,0,0,2006,0,0,0
